t,x,y,vx,vy,ax,ay
9.324288,5.660148,-0.164556,1.396465,-0.002756,0.526968,0.260743
9.374151,5.730424,-0.164363,1.422115,0.010615,0.500110,0.274362
9.424013,5.801942,-0.163490,1.446174,0.024487,0.463342,0.280898
9.473876,5.874609,-0.161919,1.468180,0.038520,0.418007,0.280979
9.523738,5.948315,-0.159651,1.487739,0.052410,0.365447,0.275233
9.573601,6.022928,-0.156699,1.504526,0.065882,0.307003,0.264288
9.623463,6.098304,-0.153091,1.518280,0.078691,0.244019,0.248773
9.673326,6.174285,-0.148866,1.528808,0.090625,0.177837,0.229316
9.723188,6.250708,-0.144071,1.535984,0.101504,0.109798,0.206546
9.773051,6.327404,-0.138764,1.539749,0.111178,0.041245,0.181091
9.822913,6.404203,-0.133006,1.540111,0.119529,-0.026484,0.153580
9.872776,6.480936,-0.126867,1.537135,0.126470,-0.092604,0.124618
9.922638,6.557440,-0.120418,1.530898,0.131942,-0.157385,0.094772
9.972501,6.633552,-0.113734,1.521456,0.135916,-0.221215,0.064602
10.022363,6.709114,-0.106889,1.508847,0.138388,-0.284484,0.034668
10.072226,6.783969,-0.099958,1.493089,0.139386,-0.347579,0.005533
10.122088,6.857960,-0.093013,1.474181,0.138963,-0.410891,-0.022244
10.171951,6.930929,-0.086122,1.452103,0.137200,-0.474808,-0.048102
10.221813,7.002718,-0.079351,1.426814,0.134207,-0.539718,-0.071480
10.271676,7.073164,-0.072756,1.398256,0.130122,-0.606010,-0.091817
10.321538,7.142103,-0.066390,1.366350,0.125110,-0.674074,-0.108553
10.371401,7.209366,-0.060292,1.331003,0.119363,-0.743963,-0.121352
10.421263,7.274779,-0.054495,1.292142,0.113069,-0.814821,-0.130490
10.471126,7.338166,-0.049022,1.249746,0.106404,-0.885638,-0.136348
10.520988,7.399352,-0.043888,1.203840,0.099520,-0.955403,-0.139305
10.570851,7.458162,-0.039099,1.154502,0.092554,-1.023105,-0.139741
10.620713,7.514430,-0.034657,1.101862,0.085620,-1.087735,-0.138038
10.670576,7.567993,-0.030558,1.046096,0.078817,-1.148281,-0.134574
10.720438,7.618703,-0.026794,0.987434,0.072223,-1.203734,-0.129729
10.770301,7.666422,-0.023352,0.926155,0.065896,-1.253083,-0.123885
10.820163,7.711026,-0.020217,0.862589,0.059879,-1.295317,-0.117421
10.870026,7.752412,-0.017375,0.797115,0.054191,-1.329425,-0.110717
10.919888,7.790494,-0.014808,0.730163,0.048835,-1.354397,-0.104144
10.969751,7.825211,-0.012499,0.662217,0.043800,-1.369184,-0.097881
11.019613,7.856526,-0.010435,0.593809,0.039069,-1.372709,-0.091933
11.069476,7.884430,-0.008598,0.525528,0.034626,-1.363891,-0.086297
11.119338,7.908947,-0.006977,0.458018,0.030458,-1.341651,-0.080969
11.169201,7.930130,-0.005557,0.391973,0.026547,-1.304908,-0.075948
11.219063,7.948073,-0.004325,0.328145,0.022879,-1.252582,-0.071229
11.268926,7.962905,-0.003271,0.267336,0.019438,-1.183594,-0.066811
11.318788,7.974798,-0.002383,0.210406,0.016211,-1.096864,-0.062690
11.368651,7.983967,-0.001651,0.158264,0.013182,-0.991312,-0.058864
11.418513,7.990676,-0.001066,0.111878,0.010336,-0.865858,-0.055329
11.468376,7.995237,-0.000618,0.072265,0.007659,-0.719421,-0.052083
11.518238,7.998013,-0.000299,0.040500,0.005137,-0.550932,-0.049120
11.568101,7.999424,-0.000103,0.017643,0.002784,-0.363969,-0.044437
11.617963,7.999930,-0.000015,0.004247,0.000855,-0.174378,-0.030770
11.667826,8.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
